metricTons	gasName	state	year
265641.76	Nitrous Oxide	WY	2011
1544655.924	Methane	MD	2011
282577.4	Nitrous Oxide	UT	2011
17709202.59004	Carbon Dioxide	NV	2011
6803824.9	Biogenic CO2	AR	2011
737032.13	Nitrous Oxide	AL	2011
29199497.57	Carbon Dioxide	MD	2011
53080444	Carbon Dioxide	WI	2011
713910.47	Nitrous Oxide	AZ	2011
1008693.84	Methane	OR	2011
590213.96	Nitrous Oxide	IN	2011
5352500.8	Carbon Dioxide	SD	2011
19244.49	Nitrous Oxide	SD	2011
266092.78227	Methane	NV	2011
1339442.37	Methane	AZ	2011
48259.87	Nitrous Oxide	PR	2011
1784016.6573306	Methane	MO	2011
4531964.22	Methane	GA	2011
361565.421	Methane	CT	2011
69262.2	Sulfur Hexafluoride	WA	2011
390193.3	Biogenic CO2	IA	2011
56397.08	Nitrogen Triflouride	OR	2011
723088.95	Nitrous Oxide	AR	2010
2384214.126	Methane	AL	2010
163392.63	Nitrous Oxide	ND	2010
54295271.918546	Carbon Dioxide	WI	2010
206628.64	Nitrous Oxide	CO	2010
89755012.98	Carbon Dioxide	GA	2010
264433.1	Nitrous Oxide	UT	2010
31981012.93	Carbon Dioxide	MD	2010
883064.10559	Nitrous Oxide	IL	2010
1324720.446	Methane	MD	2010
1013268.27	Methane	IA	2010
850824.45	Nitrous Oxide	MO	2010
2088678.753	Methane	MO	2010
385.14	Methane	DC	2010
48916951.093	Carbon Dioxide	CO	2010
115943.604	Methane	DE	2010
794101.7	Biogenic CO2	IN	2010
76621607.09	Carbon Dioxide	NC	2010
135854.09	Nitrous Oxide	NE	2010
4513695.4264689	Methane	MI	2010
3767648.1	Carbon Dioxide	RI	2011
2152.02	Nitrous Oxide	RI	2011
12501321	Carbon Dioxide	OR	2010
87554.54	Nitrous Oxide	MA	2010
10125105.6	Biogenic CO2	LA	2011
6360531.2	Biogenic CO2	WA	2010
1841203.3	Biogenic CO2	MA	2011
220202.556	Methane	CT	2010
12334.425	HFCs	AZ	2011
739.41	Methane	GU	2011
265081.32	Methane	RI	2011
4598582.8	Carbon Dioxide	DE	2010
1587436.7	Biogenic CO2	OK	2010
22996	PFCs	NY	2010
112507.1	Biogenic CO2	CO	2011
3081319.02	HFCs	LA	2010
552.09	Sulfur Hexafluoride	AR	2011
9729.72	HFCs	OH	2011
4808.7	HFCs	AL	2011
27565.65	Methane	VI	2011
96505.81	Sulfur Hexafluoride	DC	2011
40424.46	Sulfur Hexafluoride	ID	2011
452920	PFCs	OH	2011
6550	Biogenic CO2	DC	2011
597678.594993151	Nitrous Oxide	KY	2011
297414	Nitrous Oxide	WI	2011
99905233.541	Carbon Dioxide	AL	2011
7705401.87034333	Methane	IL	2011
2954349.552	Methane	TN	2011
404488342.109	Carbon Dioxide	TX	2011
5815009.1788551	Methane	FL	2011
1769393.2	Nitrous Oxide	OK	2011
40473931.709	Carbon Dioxide	NM	2011
45801932.659956	Carbon Dioxide	MN	2011
1174650.14	Nitrous Oxide	IA	2011
1454923	Nitrous Oxide	MS	2011
72633.31	Nitrous Oxide	NJ	2011
16139.53	Nitrous Oxide	DE	2011
387374.59	Nitrous Oxide	WV	2011
1014224.61	Methane	AK	2011
31212.35	Nitrous Oxide	ID	2011
148326488.97	Carbon Dioxide	PA	2010
112304.94	Nitrous Oxide	MT	2010
2954332.24	Nitrous Oxide	TX	2010
2363749.248	Methane	NY	2010
831435.5	Nitrous Oxide	PA	2010
319117.05	Methane	ND	2010
315266.91	Methane	ID	2010
107000519	Carbon Dioxide	KY	2010
1301203.3	Biogenic CO2	OH	2010
234401.84504	Nitrous Oxide	MN	2010
5377550.47	Nitrous Oxide	FL	2010
21069168.6	Carbon Dioxide	MA	2010
8077858.10261333	Methane	CA	2010
88813372.7	Carbon Dioxide	MO	2010
1453570.23	Methane	KS	2010
717323.26	Nitrous Oxide	AL	2010
3370340.4	Biogenic CO2	PA	2010
36868.3	Nitrous Oxide	HI	2010
816002.27	Fluorinated GHG Production (CO2)	LA	2011
1854955.4	Biogenic CO2	MA	2010
83595.08	PFCs	VA	2011
5244161.7	Biogenic CO2	MS	2011
621717.4	Biogenic CO2	IL	2011
148355.77	Nitrous Oxide	NE	2011
114598.63	Nitrous Oxide	OR	2010
3424974.4	Biogenic CO2	OR	2010
393192.84	Nitrous Oxide	WV	2010
161814	PFCs	MO	2010
907511.36	Nitrous Oxide	AZ	2010
3594927	Biogenic CO2	WI	2010
889006.7	Biogenic CO2	NH	2010
16492564.6	Biogenic CO2	AL	2010
10598145.9	Biogenic CO2	LA	2010
5608.03	HFCs	CA	2011
492636.36	Sulfur Hexafluoride	IL	2011
72250.32	Nitrogen Triflouride	CA	2011
149856.79	Nitrous Oxide	MD	2011
129461.52	Sulfur Hexafluoride	NJ	2011
11984.6	Biogenic CO2	ND	2010
5688.81	Nitrous Oxide	VT	2010
37127.6	PFCs	SC	2010
4308707.2	Biogenic CO2	TN	2010
66852.8	Biogenic CO2	UT	2010
47870.44	PFCs	MA	2011
88810.8	Biogenic CO2	MO	2010
287624.8	Fluorinated GHG Production (CO2)	PA	2011
65.52	HFCs	WV	2011
2452087.15	Fluorinated GHG Production (CO2)	KY	2011
2723.76	HFCs	MN	2011
41520.8	Nitrogen Triflouride	NM	2011
16609.76	PFCs	PA	2011
20266.49	Fluorinated GHG Production (CO2)	MN	2011
172055.47	PFCs	OR	2011
12335.84	Nitrogen Triflouride	ME	2011
23062999.4	Carbon Dioxide	NJ	2011
940762.83	Methane	MA	2011
193271.902222006	Nitrous Oxide	CA	2011
2005133.13	Methane	KS	2011
43946709.3	Carbon Dioxide	NY	2011
16084095.174	Methane	PA	2011
140047.15	Nitrous Oxide	NY	2011
11287571.1375722	Nitrous Oxide	FL	2011
1851366.3	Methane	IA	2011
233679.55	Nitrous Oxide	SC	2011
41840385.871	Methane	TX	2011
793732.500186278	Nitrous Oxide	IL	2011
518243.208	Methane	ME	2011
18079846.74	Carbon Dioxide	WA	2011
77493452.2	Carbon Dioxide	WV	2011
80812521.87	Carbon Dioxide	GA	2011
14282.88	Nitrogen Triflouride	MA	2011
1724050.293	Methane	MS	2011
213028.88	Nitrogen Triflouride	TX	2011
5221972.7	Carbon Dioxide	ME	2011
65895400.631	Carbon Dioxide	OK	2010
233774.142	Methane	WY	2010
3341686.887	Methane	PA	2010
853038.27	Methane	NE	2010
6182012.97	Methane	FL	2010
336153.46	Nitrous Oxide	SC	2010
314711.69	Nitrous Oxide	WI	2010
39406732.7	Carbon Dioxide	AR	2010
77916004.9	Carbon Dioxide	WV	2010
82919.42	Nitrous Oxide	NJ	2010
432062.1559	Nitrous Oxide	MI	2010
16819281.393754	Carbon Dioxide	AK	2010
2387984.424	Methane	TN	2010
352602.06	Nitrous Oxide	WY	2010
9964688.4	Carbon Dioxide	CT	2010
24310195.4	Carbon Dioxide	MT	2010
264013.8	Biogenic CO2	IA	2010
59335614.125	Carbon Dioxide	WY	2010
1654784.649	Methane	OK	2010
146564.5	Biogenic CO2	SD	2010
160586.51	Nitrous Oxide	ND	2011
14.4	Biogenic CO2	WV	2011
3733745.7	Biogenic CO2	OR	2011
140800.14	Nitrous Oxide	NM	2010
210427.55	Sulfur Hexafluoride	MN	2011
3375619.5	Carbon Dioxide	RI	2010
5651557.6	Carbon Dioxide	NH	2010
542618.58	Methane	AK	2010
2025.85	Nitrous Oxide	RI	2010
3305191.2	Biogenic CO2	NY	2010
112143.35	PFCs	CA	2011
42702.19	Nitrous Oxide	HI	2011
1685399.3	Biogenic CO2	MD	2011
209574.32	Sulfur Hexafluoride	TN	2011
507.4	Nitrogen Triflouride	MN	2011
2473887.9	Biogenic CO2	KY	2011
1289627.3	Fluorinated GHG Production (CO2)	IL	2011
215924.55	Sulfur Hexafluoride	MI	2011
410707.16	Sulfur Hexafluoride	NC	2011
108310.5	Carbon Dioxide	VT	2010
2218425.3	HFCs	LA	2011
27418.08	Sulfur Hexafluoride	NM	2011
60798.1452	Fluorinated GHG Production (CO2)	AR	2011
7624.24	HFCs	UT	2011
331.11	HFCs	PA	2011
8181.55	HFCs	NM	2011
37361.2	Nitrous Oxide	CT	2011
5914501.37522505	Methane	OH	2011
123093836.951903	Carbon Dioxide	FL	2011
16579078.2	Biogenic CO2	AL	2011
73501.93	Nitrous Oxide	MA	2011
13776201.5	Biogenic CO2	FL	2011
57095313.7	Carbon Dioxide	AZ	2011
75813465.498	Carbon Dioxide	OK	2011
1047214.66	Methane	WY	2011
63280943.73	Carbon Dioxide	WY	2011
39332367.4	Carbon Dioxide	UT	2011
508469.22	Methane	ND	2011
379224.24	Nitrous Oxide	KS	2011
